filing_uuid,general_issue_code
9a6cbf6c-d81a-4ccd-90dc-0a645a36f1c6,ENG
ef5e016c-485e-44c2-846a-d2bcf81c35b8,TRD
9177d9c8-88db-4c9e-8db0-59ab28ce1ad4,BUD
87f36743-f537-402f-b786-3fd8d754a889,BUD
7396296b-6c0e-456e-a11f-2991da5374e9,ALC
69d9886d-1bea-46d1-8baf-38da130c948f,URB
1817a9ee-a9ab-4506-b7a1-d402b4da2ceb,RET
d8d7560a-87cd-43a8-ac88-1c1e3786b7f8,MAR
7eed89c6-4475-4c06-b084-cc9252830834,LBR
9b390e3d-a4ac-402c-82c1-c8b9b45c4326,BUD
a7a6d44d-d669-4628-bacc-159d7ecfb6ca,GAM
3a210b2a-b6d2-4337-a738-0e8c524e8f99,TAX
47018f1c-5f92-48b2-9dd1-f1c8360aec4e,TAX
30d9ce47-78a3-436c-aff6-85d7e9e0ac3f,IMM
499757ff-bca5-4cdb-98cd-472612045765,TAX
870808de-8217-493e-80fe-003bfa9baf24,RET
94d2fa6d-4c14-475d-9519-b15631ddbd68,MAR
16989ad7-07b7-43a5-a418-29e48d36858e,TRA
e1bae975-5996-47c4-9c05-da0a87573d94,EDU
62e05b89-05aa-439c-a56d-2cc7da2842d1,ENG
b3ef4067-13a2-45a7-949f-4b0283d3ed2e,TAX
75215667-6227-4404-b64d-cab22dfbc7dd,DEF
856f09d0-5a5c-4cd1-9ad6-167d49874aae,BUD
24a46acf-2b30-4393-b3fa-59dba72f1d66,BUD
95667bec-cff0-440f-9fc7-63939ecebbfa,BUD
06875b4d-b8fb-424f-8771-5c6f7ab8798d,BUD
09d36cd1-a53b-4499-8981-0672873cacef,GOV
29d9be79-1fd1-41ce-b219-1d7589f8faf5,RET
ea5a9673-317d-4fdc-8907-05ec7c842f6b,LAW
a82c7287-3490-4550-a0ab-7d8d94d4c1fe,RET
9699779f-fc26-496f-8580-4227d705cc60,TAX
74ec6d3d-8a92-4ce2-ab05-814e7fa0c31e,CSP
ad5abbb2-cb6f-4d7a-bac8-821badb664ae,CPT
dbe0e399-532a-4664-9f98-003083467608,MED
39f134ed-4542-40da-ab6e-4e12e02ec528,BUD
c80b907e-66c6-4b05-a11a-d7d9e4308a5f,TAX
50756f40-ae1e-4b73-a050-b47bc29a91d3,ANI
cc306c97-b7ce-4dec-959c-43197f1babe0,TAX
245b4b0a-da0e-4f29-a8b0-6b7d5a27be53,IMM
173ae121-02cb-4899-87b8-51e920288011,TAX
85bcb82c-c8ee-489b-810b-57e8fa402cdd,TOR
b851e748-1033-4ebd-b039-2882e48d93ab,BUD
993c1126-28b4-4848-98d5-7605fdac7297,BUD
131be668-186c-4984-98af-8d9d004d3cd7,TEC
77bdf5ce-f824-45f6-859e-24e345d2736e,DEF
38e8cdc9-a968-4f45-970b-ac079ea6c8b4,MAR
864d0891-3ba4-43c7-bfc5-bf7747ba93ca,BAN
57c1dcc3-e2ab-4571-ab05-6ff11467db06,BAN
d8edc7d7-514e-46a9-9ac5-83c944e5c1db,AVI
5b193028-69fd-4bf1-a865-0230894ca557,TAX
05f021cf-8b85-4460-86cc-e11923fbfe08,URB
6a6bbaf3-77e9-430f-b2dd-05664890d2d9,TRD
b5944526-bfdc-4155-9cea-e4d703626387,TRD
28213125-48fa-4314-b3f1-5eb19680a30a,TAX
b2438d9d-66ab-4de6-8182-f95c3d3e4074,TAX
e27d4556-f956-4833-9f47-350adaf15357,MAR
27a738b5-0184-498e-8ff3-18c964ce5b7f,UNM
236e9e73-5465-4c0a-8dff-0f34e55ea809,GAM
634f7d18-e2ea-4920-bd6e-42cbf6802164,BUD
61723f20-6e72-4fee-afe0-a13635d17970,HCR
e6b52360-b63f-45c9-9450-adf6f76e3400,IMM
e153a805-cd2f-47cc-abe0-82002715b4c3,DEF
8a48fe03-79e6-4805-816c-91fb7d05804e,HCR
d220a31c-7244-4514-9be5-e73c1bc936e5,CSP
089a4277-c0e0-43f5-b36e-104da977371e,TAX
248d603c-2aed-420d-bc34-3c68ba615d9f,EDU
6157cdb2-87e0-4159-9e9e-ea0496ecf8a3,AUT
b7ca6bf1-5e6d-4eb8-a71e-17ed08a7feed,BUD
65841c5a-42ee-4586-86e6-8ba9ab1e1894,BUD
cbadf5bb-611b-470a-b465-8ae79f4ecd1e,LBR
9b553b89-da7d-4421-9ae4-17228baa9271,FOR
454a5bfa-8910-4bd5-a9a9-acab573caa06,BUD
fc70b64c-c226-4e56-b036-56276ac60749,DEF
d9fdcdec-511a-4a88-b777-6d07e6e63ceb,CPT
f0549c6e-0822-4c6c-89e5-b0fd004fe8b6,HCR
86b12ea8-bb04-4181-afa5-5c7df32c19f1,TOB
d5d96888-d9f3-4241-8bc2-f86a606a36d1,HCR
1c13bfd4-5a2f-4f49-bac3-d2a0bb6f55bc,TAX
c74b422d-9f16-47a5-8ce3-19b9a6735cb0,BAN
7dff07a4-d181-4c37-a801-63ad2c054602,CPT
93c55945-dcf3-4c68-86a7-5c1f42d3b306,AVI
573ef0a0-14eb-4169-b98f-4f8caad8f2f4,CAW
af4c29ec-5fa3-4e0c-ba01-3c77f16e010c,MAR
3be97bcb-f0f5-47b5-b1d4-bd21015e1b56,BAN
dc2a20b3-2993-4745-8bf1-6e8544ae52db,UTI
5af2d0c4-d370-4284-bd22-6fb38e504943,FAM
3d582519-6e0e-4826-ab95-a4f93df4fc7c,APP
c5233304-9770-48be-93aa-5c558c9f3cad,DEF
2a0d8e11-59a8-4cb4-b93b-012cc58268a3,BUD
97c43c07-2fdc-4b73-9cad-f3d5b8569cc0,HCR
2b3c55ca-1446-47a2-8a8f-b62cb8ec8b0e,HCR
88c2546f-9803-4285-9fcb-40e9a81ae553,TAX
d8edba4f-b622-423a-b8fa-5547a633e655,FIN
1a1ab238-d54f-4394-b79d-cd2eb3fa198d,SCI
c14b8420-345b-49f8-97e5-1f1a95c4a4e2,TRA
7075c049-a524-4da2-b412-4f7f0ce570e7,NAT
b752256d-0781-4fdc-a154-a92ecd57a255,TAX
b039b323-68a0-4f1c-aab4-6a7569aa7623,AVI
9bdeb1ef-a88e-451d-8f8b-8d4dd13c3fd6,MED
b9e01b22-0ea2-420e-8713-7685f08f5fd9,IND
a873aed4-b5ba-44d8-b187-7218bce01a36,AGR
173d4dca-c351-4fd8-a004-d6038ff93221,AGR
cdd3b90d-3a59-448d-adeb-0f698bb677ed,AER
5f4e0de1-5d50-4a3a-8358-c109e87668bd,INS
88c74367-2359-4963-ba21-28135ca7ece4,RES
1167b0ed-45cf-46f4-af19-28a40d2829f7,BAN
cf4f6ed0-60ae-4b38-a35d-c75bce4104d6,CPI
6ec13918-8f39-4b53-943a-a1c6dc6e1eba,TRA
a3f68308-1a32-4ded-be80-d3ea12ff9960,MED
92c836b0-e653-4dd6-ad60-204a7ae76890,NAT
27ce9602-98aa-4e07-88cc-7e08660a6140,BUD
6eea3af3-bd7a-49db-a138-1a4f7715627d,CPI
962403ab-929d-438f-8fa0-ce6901a9cf34,NAT
9bc24201-2f7c-442d-b7e7-5df040540139,ENV
0d1ee6cb-00c4-4c57-8817-7be3e0c6917a,BUD
015a65d0-2eb4-4d3a-aa2b-22cf9bf1df2e,CSP
e392c83f-c706-41b3-b1c5-482ef728922a,DIS
fe4c5012-98f9-4dfa-b111-b948f7f90eab,MMM
eb5e4e92-01ec-42c4-bdcb-1b3720a6d963,GOV
3a7af2b1-bbca-4997-8993-48c972451ed5,FOR
67af8e26-0785-4c79-a364-6294e07bc7b0,ENV
2bd18356-7d11-4691-8054-90d5cf684d27,ENG
4b1b8ecc-ca54-48ac-b152-3cdf176f073b,SCI
d2ddc4d0-8dc8-430d-bc31-1c55cf4ea856,EDU
